"","B8vsN8","B28vN24","N24vN8","B28vB8","AveExpr","F","P.Value","adj.P.Val"
"PCNA",1.31941350213834,1.54628572557503,0.874399235346916,0.647527011910228,11.5156900366228,13.1074445088033,0.00071326338102214,0.00071326338102214
"C1q",-1.41841257850229,-1.04435933427891,0.16895494644257,-0.205098297780809,13.3827345925667,13.064381164711,0.000722830034118215,0.000722830034118215
"Collagen IV",-1.52447998591407,-1.83351376256226,-0.538885486234449,-0.229851709586264,9.7824772599318,11.6856281288308,0.00112845641001987,0.00112845641001987
"Nucleosome antigen",-1.24238285784234,-0.865917834661937,0.234110186527849,-0.142354836652551,12.119713857004,8.42573231057444,0.00386934156184553,0.00386934156184553
"SRP54",-0.164239381641135,-0.586079670453016,0.687849382907688,1.10968967171957,9.1816176406663,7.15410434246409,0.00684825395290862,0.00684825395290862
"Ig control",-0.914399719366907,-0.783261537776793,-0.670776492224121,-0.801914673814235,14.9422676482679,7.04554739342518,0.00721162492218373,0.00721162492218373
"CENP-B",-0.207347789186645,-0.666814143354621,0.921707934350852,1.38117428851883,12.6783134457573,6.82396653694447,0.0080269563460275,0.0080269563460275
