"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Collagen VI",698156.440625398,344353.360072871,5.97041870645627,0.000264043002205164,0.000264043002205164,-4.59511123390254
"PCNA",79655.2358690391,25915.2975606867,4.51504052577769,0.00168609262318711,0.00168609262318711,-4.59511248165375
"ssDNA",1795054.96043959,753270.453201081,3.70801047122958,0.00537445884994636,0.00537445884994636,-4.59511355838122
"Sm",14148.6359805693,6144.95879351026,3.67798845510832,0.00562120705482507,0.00562120705482507,-4.59511360556233
